Year,Division,Horse,OverallPlacing,USDFNumber,OverallScore
2018,USEF4,Figaro,6,1128636,7.936
2018,USEF4,Caelius,7,1131500,7.852
2018,USEF4,MSJ Celebrity,8,1130377,7.776
2018,USEF4,Davos CF,9,1110329,7.696
2018,USEF4,Oliana FFF,10,1129931,7.620
2018,USEF4,Doblesse,11,1131543,7.584
2018,USEF4,Der Swarovski,12,1130682,7.516
2018,USEF4,Jhocolate R,13,1116242,7.479
2018,USEF4,Genesis,14,1132707,7.016
2019,DHGP,Ferano,1,1117541,70.041
2019,DHGP,Candescent,2,1108912,69.722
2019,DHGP,Faolan,3,1102403,68.644
2019,DHGP,Floretienne,4,1101450,68.492
2019,DHGP,Quantum Jazz,5,1101462,67.121
2019,DHGP,Fifi MLW,6,1085204,67.119
2019,DHGP,Vashti,7,1107698,66.731
2019,DHGP,Eragon VO,8,1134244,66.064
2019,DHGP,Wynston,9,1099517,64.849
2019,DHGP,Hello Halli,10,1103714,64.625
2019,DHGP,Rapson,11,1090131,63.010
2019,DHGP,Ellert HB,12,1101296,62.429
2019,DHGP,El Xeiquio,13,1134638,60.854
2019,DHGP,Faberge Blue,14,1107486,25.666
2019,DHGP,Pik L's Donabella HU,15,1099805,23.254
2019,DHPSG,Damon's Fantasy,1,1117163,72.598
2019,DHPSG,Java Dulce,2,1112447,72.019
2019,DHPSG,Gorgeous,3,1129954,70.828
2019,DHPSG,Fenomenal JW,4,1123934,70.290
2019,DHPSG,Don Cesar,5,1112077,70.023
2019,DHPSG,Au Revoir,6,1118783,69.800
2019,DHPSG,Duchess L,7,1113402,69.541
2019,DHPSG,MW Feinermark,8,1091745,69.239
2019,DHPSG,Flavius MF,9,1088715,68.781
2019,DHPSG,Fauna,10,1117540,68.347
2019,DHPSG,Grandiose,11,1133212,68.099
2019,DHPSG,Deimos 4,12,1123314,68.091
2019,DHPSG,Sternlicht Hilltop,13,1087284,67.949
2019,DHPSG,Silberpfeil,14,1106756,66.973
2019,DHPSG,Damon's Design HW,15,1107878,62.190
2019,FEI6,SenSation HW,1,1122443,8.692
2019,FEI6,Fairouz,2,1126073,8.384
2019,FEI6,I'm All In,3,1129521,8.344
2019,FEI6,Servus Ymas,4,1134446,8.292
2019,FEI6,Ion SWF,5,1104889,7.976
2019,FEI6,WEC's Senor Rubinstein,6,1124842,7.924
2019,FEI6,Irintha,7,1131348,7.919
2019,FEI6,MW Ave Maria,8,1104760,7.892
2019,FEI6,Serenade MF,9,1103046,7.864
2019,FEI6,Reine Noire GWF,10,1130492,7.848
2019,FEI6,Idano,11,1135422,7.792
2019,FEI6,Santa Barbara DASH,12,1126753,7.752
2019,FEI6,Fontaine MF,13,1103175,7.668
2019,FEI6,MW Cilla Amour,14,1104928,7.552
2019,FEI6,Supremont,15,1126105,7.464
2019,FEI5,Sole Mio,1,1129247,9.056
2019,FEI5,Jagger,2,1131458,8.356
2019,FEI5,Jida Selly A,3,1136218,8.136
2019,FEI5,Figaro,4,1128636,7.800
2019,FEI5,Jhocolate R,5,1116242,7.768
2019,FEI5,Spirit of Joy,6,1135952,7.692
2019,FEI5,Floris King,7,1131719,7.665
2019,FEI5,Davos CF,8,1110329,7.556
2019,FEI5,Jagger DG,9,1130221,7.484
2019,FEI5,Heirendale SBF,10,1136700,7.420
2019,FEI5,Jjaguar B,11,1129403,7.388
2019,FEI5,Fabulous Lady,12,1136425,7.312
2019,FEI5,MSJ Celebrity,13,1130377,7.240
2019,FEI5,Jett MVS,14,1130539,3.016
2019,USEF4,Sonnenberg's Kain,1,1136254,8.388
2019,USEF4,Summersby II,2,1133414,8.180
2019,USEF4,Kitalis MVS,3,1137003,8.076
2019,USEF4,Leon De Matecana,4,1134600,7.967
2019,USEF4,Kasanova DG,5,1137214,7.772
2019,USEF4,Kayenne CWS,6,1134245,7.704
2019,USEF4,Fellini CF,7,1136134,7.614
2019,USEF4,Karmelo R,8,1131185,7.552
2019,USEF4,Royal Heiress,9,1130730,7.504
2019,USEF4,Koning DG,10,1135949,7.471
2019,USEF4,Francisco,11,1132814,7.452
2019,USEF4,Killian TF,12,1124195,7.396
2019,USEF4,Finch Hatton EDI,13,1134827,7.336
2019,USEF4,Knockout SSF,14,1129356,7.328
2020,DHGP,Donatella M,1,1104727,72.103
2020,DHGP,Harvest,2,1120136,69.183
2020,DHGP,Don Cesar,3,1112077,66.595
2020,DHGP,Gronskovlunds Romeeo,4,1131590,66.264
2020,DHGP,Friend,5,1120308,65.670
2020,DHGP,Flavius MF,6,1088715,65.663
2020,DHGP,Figaro H,7,1107460,64.191
2020,DHGP,Sundance,8,1104788,62.933
2020,DHGP,Fire Fly,9,1132642,62.448
2020,DHGP,MW Feinermark,10,1091745,62.370
2020,DHGP,Bardolino,11,1134488,61.857
2020,DHGP,Fifinella GCF,12,1111283,61.476
2020,DHPSG,Stenagers Wyatt Earp,1,1135170,72.076
2020,DHPSG,Hartog,2,1118603,70.750
2020,DHPSG,MW Ave Maria,3,1104760,70.363
2020,DHPSG,Infinity,4,1129840,69.780
2020,DHPSG,Sir Amour,5,1117254,69.770
2020,DHPSG,Fashion Week,6,1134979,69.628
2020,DHPSG,Sandeman,7,1121959,69.184
2020,DHPSG,Harvard,8,1129504,69.152
2020,DHPSG,TS Sir Beckmann,9,1121871,68.981
2020,DHPSG,Imposant MC,10,1139755,67.968
2020,DHPSG,Balia,11,1131004,67.860
2020,DHPSG,Dehavilland,12,1112032,67.774
2020,DHPSG,Venivici,13,1113029,67.689
2020,DHPSG,Flash Gordon HF,14,1118740,66.588
2020,DHPSG,MW Cilla Amour,15,1104928,65.060
2020,FEI6,Spirit of Joy,1,1135952,8.792
2020,FEI6,Joppe K,2,1140163,8.068
2020,FEI6,Baltasar De Ymas,3,1140298,7.992
2020,FEI6,Jagger,4,1131458,7.856
2020,FEI6,Fortunata,5,1142211,7.476
2020,FEI6,Justice OF,6,1130400,7.376
2020,FEI6,Jjaguar B,7,1129403,7.368
2020,FEI6,Hermes BRH,8,1140899,7.356
2020,FEI6,Absolute Dream,9,1131055,7.324
2020,FEI6,Julinda M,9,1130201,7.324
2020,FEI6,Dark Knight,11,1141559,7.308
2020,FEI6,Sijam,12,1137199,6.960
2020,FEI6,Jackpot Royal,13,1141986,6.804
2020,FEI5,Easy Di Fonteabeti Ymas,1,1139466,8.154
2020,FEI5,Summersby II,2,1133414,8.079
2020,FEI5,Sonnenberg's Kain,3,1136254,7.628
2020,FEI5,Lovely Leni,4,1141080,7.580
2020,FEI5,Dionysus MF,5,1114505,7.552
2020,FEI5,Killian TF,6,1124195,7.412
2020,FEI5,Kiriska,7,1132866,7.400
2020,FEI5,Furstenbelle,8,1131180,7.396
2020,FEI5,Kyro,9,1133080,7.332
2020,FEI5,Kayla,10,1140885,7.312
2020,FEI5,Shanahan,11,1141367,7.212
2020,FEI5,Kayman,12,1135697,7.180
2020,FEI5,Ynze fan Vels,13,1138055,7.124
2020,FEI5,Royal Heiress,14,1130730,2.944
2020,USEF4,Gjenganger,1,1137970,8.660
2020,USEF4,Glory Day,2,1141214,8.559
2020,USEF4,Flambeau,3,1141983,8.184
2020,USEF4,MW Bodacious,4,1121957,8.140
2020,USEF4,Lalique,5,1141989,8.084
2020,USEF4,Saladine STC,6,1141692,8.040
2020,USEF4,Lyamora,7,1141174,7.972
2020,USEF4,San Sebastian,8,1140396,7.920
2020,USEF4,Floyd EDI,9,1141520,7.872
2020,USEF4,Lucian BHS,10,1141781,7.848
2020,USEF4,Rowena SW,11,1141884,7.796
2020,USEF4,MW Weissgold,12,1141945,7.724
2020,USEF4,Liang,13,1141874,7.696
2020,USEF4,Bedelia,14,1142095,7.672
2020,USEF4,Leanora AOF,15,1141823,7.412
2021,DHGP,Serenade MF,1,1103046,75.519
2021,DHGP,Harvest,2,1120136,71.688
2021,DHGP,Java Dulce,3,1112447,71.241
2021,DHGP,Paxton,4,1134356,71.152
2021,DHGP,Au Revoir,5,1118783,66.883
2021,DHGP,Imposant MC,6,1139755,66.401
2021,DHGP,Guernsey Elvis,7,1134641,66.233
2021,DHGP,Tokayer,8,1116784,64.888
2021,DHGP,RS Damon,9,1137137,64.419
2021,DHGP,Fortissimo SQF,10,1116892,63.802
2021,DHGP,Ramora CF,11,1099508,62.384
2021,DHGP,Nikolas,12,1106138,61.596
2021,DHPSG,Daily Show,1,1129195,74.504
2021,DHPSG,I Felix,2,1126961,72.158
2021,DHPSG,Sole Mio,3,1129247,72.003
2021,DHPSG,Florisson,4,1123137,71.652
2021,DHPSG,Iquem,5,1123765,71.212
2021,DHPSG,Figaro,6,1128636,70.591
2021,DHPSG,Spirit of Joy,7,1135952,70.050
2021,DHPSG,Ballando,8,1144296,69.456
2021,DHPSG,Belloona,9,1129997,69.319
2021,DHPSG,Ichiban,10,1128125,68.463
2021,DHPSG,Supremont,11,1126105,68.167
2021,DHPSG,Irintha,12,1131348,67.725
2021,DHPSG,Ronin,13,1117796,66.529
2021,DHPSG,WEC's Senor Rubinstein,14,1124842,26.509
2021,DHPSG,Atterupgaards Belafonte,15,1145410,26.490
2021,FEI6,Sonata MF,1,1114533,8.148
2021,FEI6,Delilah,2,1135525,8.024
2021,FEI6,Summersby II,3,1133414,7.912
2021,FEI6,San Raphaella LS,4,1137953,7.852
2021,FEI6,Fanta 4,5,1142361,7.780
2021,FEI6,Fellowship CCW,6,1137582,7.416
2021,FEI6,Birdie 10,7,1145967,7.264
2021,FEI6,Dionysus MF,8,1114505,7.240
2021,FEI6,Debonaire,9,1142355,7.112
2021,FEI6,Kolbaba,10,1137344,7.048
2021,FEI6,Ayo Windberg,11,1143213,7.008
2021,FEI6,Shanahan,12,1141367,6.960
2021,FEI6,Fuerte Ventura IR,13,1146964,6.948
2021,FEI6,Fairmont,14,1142105,6.884
2021,FEI5,Glory Day,1,1141214,9.518
2021,FEI5,Vianne,2,1140513,8.964
2021,FEI5,Mollegardens Fashion,3,1144566,8.700
2021,FEI5,Gjenganger,4,1137970,8.604
2021,FEI5,Flambeau,5,1141983,8.316
2021,FEI5,Mani's Endeavor,6,1136141,7.920
2021,FEI5,MW Weissgold,7,1141945,7.836
2021,FEI5,Saladine STC,8,1141692,7.688
2021,FEI5,Black Velvet,9,1142069,7.364
2021,FEI5,La Formidable B,10,1145812,7.356
2021,FEI5,Looney Tunes,11,1144914,7.278
2021,FEI5,Talladega B,12,1139633,7.176
2021,FEI5,Bedelia,13,1142095,7.092
2021,FEI5,Qunique N,14,1140925,6.900
2021,USEF4,Fontenay,1,1147538,8.760
2021,USEF4,Ierland's Eden,2,1144998,8.616
2021,USEF4,MW Furstencharmant,3,1133722,8.392
2021,USEF4,It's Showtime,4,1146272,8.072
2021,USEF4,Dante Rubin M.R.,5,1146715,7.976
2021,USEF4,Maximus,6,1147948,7.879
2021,USEF4,Manhattan,7,1145798,7.760
2021,USEF4,MW Marcario,8,1142119,7.752
2021,USEF4,Materos JV,9,1143851,7.740
2021,USEF4,Saint de Luce,10,1144881,7.708
2021,USEF4,Mojito,11,1145237,7.632
2021,USEF4,Fiorenza,12,1146265,7.596
2021,USEF4,Revanali YF,13,1145338,7.568
2021,USEF4,Duke of Tryon,14,1131151,7.556
2021,USEF4,Don Hannes,15,1146255,7.510
2022,DHGP,Harrold S,1,1125222,69.942
2022,DHGP,Jane,2,1130478,69.324
2022,DHGP,Spirit of Joy,3,1135952,68.966
2022,DHGP,Sole Mio,4,1129247,68.569
2022,DHGP,Vamos,5,1135488,66.771
2022,DHGP,Amillion FS,6,1149691,65.926
2022,DHGP,Harvard,7,1129504,65.527
2022,DHGP,Infinity,8,1129840,65.443
2022,DHGP,High Five,9,1124138,64.050
2022,DHPSG,Johnny Be Goode,1,1142011,73.223
2022,DHPSG,Ronin,2,1117796,71.211
2022,DHPSG,Jett MVS,3,1130539,68.642
2022,DHPSG,Iron Lady,4,1141001,68.374
2022,DHPSG,Inigo Montoya,5,1124615,67.870
2022,DHPSG,MSJ Celebrity,6,1130377,67.637
2022,DHPSG,Absolute Dream,7,1131055,67.339
2022,DHPSG,Incredible Jacky,8,1136100,67.260
2022,DHPSG,Zaphira,9,1134154,66.337
2022,DHPSG,Santa Barbara DASH,10,1126753,65.487
2022,FEI7,King's Pleasure,1,1149631,78.294
2022,FEI7,Fanta 4,2,1142361,76.181
2022,FEI7,Sonata MF,3,1114533,75.991
2022,FEI7,Fade to Black,4,1150968,75.338
2022,FEI7,Summersby II,5,1133414,74.760
2022,FEI7,Delilah,6,1135525,74.028
2022,FEI7,Olympic Star M.R.,7,1144490,70.841
2022,FEI7,Nova,8,1152137,70.716
2022,FEI7,Vioretta,9,1150417,70.670
2022,FEI7,Kensington,10,1142405,70.258
2022,FEI7,Debonaire,11,1142355,68.338
2022,FEI7,Gold Play,12,1141984,67.974
2022,FEI7,Shanahan,13,1141367,67.519
2022,FEI7,Karamba,14,1144091,27.678
2022,FEI6,Mollegardens Fashion,1,1144566,8.348
2022,FEI6,Lionell VE,2,1149470,8.180
2022,FEI6,Gjenganger,3,1137970,8.084
2022,FEI6,Glory Day,4,1141214,7.952
2022,FEI6,MW Weissgold,5,1141945,7.924
2022,FEI6,Lion Heart,6,1148679,7.736
2022,FEI6,Altitude's Sonegro PS,7,1142746,7.720
2022,FEI6,Leviathan,8,1140184,7.604
2022,FEI6,R U 4 Me,9,1132508,7.564
2022,FEI6,Talladega B,10,1139633,7.560
2022,FEI6,Franzsis HSR,11,1141869,7.504
2022,FEI6,Qunique N,12,1140925,7.364
2022,FEI6,Bruce Springsteen MF,13,1127216,7.292
2022,FEI6,Leeloo Dallas,14,1137768,7.272
2022,FEI5,Valor,1,1150257,9.248
2022,FEI5,Ierland's Eden,2,1144998,8.848
2022,FEI5,MW Furstencharmant,3,1133722,8.792
2022,FEI5,MSJ For VIPs,4,1151447,8.668
2022,FEI5,Maximus,5,1147948,8.280
2022,FEI5,Fontenay,6,1147538,8.184
2022,FEI5,Manhattan,7,1145798,7.868
2022,FEI5,Mondriaan Lynn,8,1145535,7.716
2022,FEI5,Don Hannes,9,1146255,7.632
2022,FEI5,Fernando,10,1153073,7.616
2022,FEI5,Saint De Luce,11,1144881,7.356
2022,FEI5,Masterful Dream,12,1144580,7.300
2022,FEI5,Mulana,13,1150315,6.980
2022,USEF4,Furst Dream,1,1150621,9.292
2022,USEF4,Ice Princess,2,1149572,8.976
2022,USEF4,For Edition,3,1151702,8.604
2022,USEF4,Nobility LH,4,1152018,8.372
2022,USEF4,Superior 9,5,1152807,8.256
2022,USEF4,Vholt,6,1151288,8.152
2022,USEF4,Baileys H,7,1151914,8.036
2022,USEF4,Candoit's Secret Weapon,8,1149964,7.920
2022,USEF4,Donosti M.R.,9,11507,7.832
2022,USEF4,Niro M,10,1152017,7.720
2022,USEF4,Sir Real,11,1152610,7.620
2022,USEF4,MSJ Simon Sez,12,1146580,7.538
2022,USEF4,Fantastic M.R.,13,1150825,2.976
2023,DHGP,Sole Mio,1,1129247,69.643
2023,DHGP,Inxs,2,1123886,68.855
2023,DHGP,Infinity,3,1129840,67.648
2023,DHGP,Spirit of Joy,4,1135952,66.929
2023,DHGP,Iquem,5,1123765,65.955
2023,DHGP,Destar,6,1150126,65.952
2023,DHGP,Irintha,7,1131348,63.750
2023,DHGP,Tripple X,8,1150140,63.623
2023,DHGP,Ronin,9,1117796,62.867
2023,DHGP,Incredible Jacky,10,1136100,56.128
2023,DHGP,WEC's Senor Rubinstein,11,1124842,38.750
2023,DHPSG,Sonnenberg's Jersey,1,1158661,71.999
2023,DHPSG,Delilah,2,1135525,71.552
2023,DHPSG,Gremlin 41,3,1150546,70.707
2023,DHPSG,Runehojs Shiva,4,1151430,69.191
2023,DHPSG,Vioretta,5,1150417,68.052
2023,DHPSG,Jim,6,1129586,67.494
2023,DHPSG,Furst Romanov,7,1144894,66.455
2023,DHPSG,MW Weissgold,8,1141945,65.726
2023,DHPSG,Altitude's Sonegro PS,9,1142746,63.802
2023,DHPSG,Giovanni-Bell,10,1157255,43.333
2023,DHPSG,S Express,11,1158953,39.778
2023,DHPSG,Der Fiete,12,1140436,38.361
2023,FEI7,Gorgeous Latino,1,1148155,76.043
2023,FEI7,Lord Hennessy,2,1142015,75.033
2023,FEI7,Lionell VE,3,1149470,74.720
2023,FEI7,Lion Heart,4,1148679,74.390
2023,FEI7,Lion King,5,1156750,74.334
2023,FEI7,Leviathan,6,1140184,72.717
2023,FEI7,Franzsis HSR,7,1141869,72.522
2023,FEI7,L Primo DG,8,1144607,71.816
2023,FEI7,Luck Pleasure D,9,1155972,70.843
2023,FEI7,Winterfel,10,1146047,70.694
2023,FEI7,Legatus SDM,11,1150451,70.663
2023,FEI7,Leeloo Dallas,12,1137768,69.212
2023,FEI7,Lets Dance,13,1149963,69.004
2023,FEI7,Quilana CF,14,1149108,66.837
2023,FEI6,Fontenay,1,1147538,8.788
2023,FEI6,G.Q.,2,1156045,8.536
2023,FEI6,MW Furstencharmant,3,1133722,8.080
2023,FEI6,Maebria DG,4,1145363,7.976
2023,FEI6,Franeur,5,1157781,7.948
2023,FEI6,Magnifico,6,1151133,7.840
2023,FEI6,Scintillating RH,7,1150156,7.732
2023,FEI6,Masterful Dream,8,1144580,7.688
2023,FEI6,Hosanna,9,1146135,7.668
2023,FEI6,Mojito,10,1145237,7.620
2023,FEI6,Don Hannes,11,1146255,7.584
2023,FEI6,Dreamliner,12,1141549,7.260
2023,FEI6,Dante Rubin M.R.,13,1146715,4.668
2023,FEI6,Strike,14,1158656,3.064
2023,FEI6,Makanabria DG,15,1145365,2.912
2023,FEI5,Lindholm's Quick Step,1,1157309,8.528
2023,FEI5,For Edition,2,1151702,8.108
2023,FEI5,Candoit's Secret Weapon,3,1149964,8.076
2023,FEI5,Nero,4,1150691,8.066
2023,FEI5,Saskatoon OMF,5,1148307,8.040
2023,FEI5,Figardo,6,1154513,7.982
2023,FEI5,Vholt,7,1151288,7.936
2023,FEI5,Bailey's on Ice,8,1159749,7.676
2023,FEI5,Baileys H,9,1151914,7.672
2023,FEI5,Bondi Blue,10,1152260,7.652
2023,FEI5,New Adventure DG,11,1152524,7.596
2023,FEI5,Sir Real,12,1152610,7.516
2023,FEI5,Niro M,13,1152017,7.264
2023,FEI5,Superior 9,14,1152807,3.432
2023,FEI5,Notilas MVS,15,1153400,3.144
2023,USEF4,Zapatero,1,1158280,8.904
2023,USEF4,Deambulo PWD,2,1158399,8.788
2023,USEF4,MW One More Dream,3,1159260,8.564
2023,USEF4,Serupgaards Cezanne,4,1157634,8.424
2023,USEF4,MW Mastermind,5,1159259,8.404
2023,USEF4,Oxford B,6,1155240,8.180
2023,USEF4,Denmark HTF,7,1154652,8.084
2023,USEF4,Dromanov M.R.,8,1158023,8.080
2023,USEF4,Francetto,9,1159228,7.956
2023,USEF4,Splendido,10,1152094,7.952
2023,USEF4,Osiris,11,1155974,7.820
2023,USEF4,Executive Pumpking,12,1155930,7.732
2023,USEF4,Zooey,13,1158014,7.640
2023,USEF4,Best Friend,14,1159115,7.460
2023,USEF4,Oscar HF,15,1156646,7.196
2023,USEF4,Maisie CF,16,1149166,2.904
2024,USEF4,Pharaoh DG,1,1162528,8.744
2024,USEF4,Sonnenberg's Paris,2,1164085,8.736
2024,USEF4,MW Virtuous,3,1164743,8.608
2024,USEF4,Sonnenberg's PrimRosa,4,1165137,8.416
2024,USEF4,Vhenti,5,1163617,7.856
2024,USEF4,Fiorenza HSR,6,1163584,7.788
2024,USEF4,DiVinci's Dream,7,1162780,7.632
2024,USEF4,Deauville CF,8,1161438,7.628
2024,USEF4,Favorite Song PS,9,1160348,7.616
2024,USEF4,Sabella RS,10,1147547,7.532
2024,USEF4,Salinger H20,11,1148742,7.492
2024,USEF4,MW Sacred,12,1165516,7.488
2024,USEF4,Presley,13,1162869,7.456
2024,USEF4,Fuerst Dream F.O.D.,14,1162040,7.26
2024,FEI5,Deambulo PWD,1,1158399,8.228
2024,FEI5,Zapatero,2,1158280,8.012
2024,FEI5,Serupgaards Cezanne,3,1157634,7.916
2024,FEI5,MW One More Dream,4,1159260,7.736
2024,FEI5,Optima,5,1155663,7.692
2024,FEI5,Twan Vita Nova,6,1162692,7.672
2024,FEI5,Hukam Singh,7,1164364,7.56
2024,FEI5,Denmark HTF,8,1154652,7.484
2024,FEI5,MW Mastermind,9,1159259,7.416
2024,FEI5,Ophelia BSH,10,1160369,7.3
2024,FEI5,Matchmaker HSR,11,1157198,7.26
2024,FEI5,JJ Fellini,12,1163454,7.224
2024,FEI5,Furst Adventure,13,1157718,7.16
2024,FEI5,Oscar HF,14,1156646,7.12
2024,FEI6,Zaunkonig,1,1161250,8.424
2024,FEI6,MW Mercury,2,1153298,8.368
2024,FEI6,Saskatoon OMF,3,1148307,8.356
2024,FEI6,Figardo,4,1154513,7.924
2024,FEI6,Sybil Nobel,5,1164102,7.84
2024,FEI6,Baileys On Ice,6,1159749,7.708
2024,FEI6,Famosa WF,7,1157779,7.696
2024,FEI6,Nation VDL,8,1161771,7.668
2024,FEI6,Nibulandra,9,1157318,7.656
2024,FEI6,Nero,10,1157318,7.584
2024,FEI6,Geistfeuer,11,1144328,7.568
2024,FEI6,Secret Royal 3,12,1164500,7.544
2024,FEI6,Scotaloo,13,1164712,7.488
2024,FEI6,Vholt,14,1151288,7.416
2024,FEI6,Neil,15,1164624,7.416
2024,FEI7,Makanabria DG,1,1145365,73.427
2024,FEI7,Ikon,2,1152009,73.193
2024,FEI7,Viconte,3,1163681,72.876
2024,FEI7,Cantinero Los Encinos,4,1150930,71.730
2024,FEI7,I Spy,5,1152626,70.354
2024,FEI7,Maebria DG,6,1145363,69.971
2024,FEI7,Louisville HTF,7,1127743,69.464
2024,FEI7,Mojito,8,1145237,69.035
2024,FEI7,Mynanke A,9,1143074,65.919
2024,FEI7,Don Hannes,10,1146255,65.863
2024,FEI7,Belafonte MF,11,1138445,65.275
2024,FEI7,Masterful Dream,12,1144580,62.479
2024,DHPSG,Gorgeous Latino,1,1148155,70.638
2024,DHPSG,Kanjer,2,1134416,69.467
2024,DHPSG,Franzsis HSR,3,1141869,68.951
2024,DHPSG,Limited Edition,4,1121827,67.981
2024,DHPSG,Liang,5,1141874,67.539
2024,DHPSG,Lord Hennessy,6,1142015,67.133
2024,DHPSG,Belvedere NRW,7,1152669,66.843
2024,DHPSG,Veneziano's Rhapsody,8,1161429,66.620
2024,DHPSG,Fellowship CCW,9,1137582,66.111
2024,DHPSG,Ronbjerg's Santiago,10,1163679,65.864
2024,DHPSG,Bianka SQF,11,1139103,65.819
2024,DHPSG,Heiline's St. Coeur,12,1155479,65.795
2024,DHPSG,Legatus SDM,13,1150451,64.966
2024,DHPSG,R U 4 Me,14,1132508,61.636
2024,DHGP,Nova,1,1152137,69.222
2024,DHGP,Jim,2,1129586,67.761
2024,DHGP,Figaro,3,1128636,67.329
2024,DHGP,Vioretta,4,1150417,67.008
2024,DHGP,Topaz Diamant,5,1162815,66.943
2024,DHGP,Jett MVS,6,1130539,66.645
2024,DHGP,Furst Romanov,7,1144894,64.059
2024,DHGP,Kingstown,8,1136591,61.911
2024,DHGP,Jjaguar B,9,1129403,61.436
2024,DHGP,Der Fiete,10,1140436,60.632
